"fdc_id","food_name","calories","fat_gr","carbs_gr","protein_gr"
"2768188","Alaska Pollock, raw","78","1","0","17"
"2262074","Almond butter, creamy","645","53","21","21"
"2257045","Almond milk, unsweetened, plain, refrigerated","19","2","1","1"
"1750338","Almond milk, unsweetened, plain, shelf stable","15","1","0","1"
"1999631","Almond milk, unsweetened, plain, shelf stable","15","1","0","1"
"2747652","Anchovies, canned in olive oil, with salt, drained","206","10","2","27"
"2003590","Apple juice, with added vitamin C, from concentrate, shelf stable","48","0","11","0"
"1750340","Apples, fuji, with skin, raw","65","0","16","0"
"1105897","Apples, fuji, with skin, raw","65","0","16","0"
"1750341","Apples, gala, with skin, raw","61","0","15","0"
"1105781","Apples, gala, with skin, raw","61","0","15","0"
"1105664","Apples, granny smith, with skin, raw","59","0","14","0"
"1750342","Apples, granny smith, with skin, raw","59","0","14","0"
"1105547","Apples, honeycrisp, with skin, raw","60","0","15","0"
"1750343","Apples, honeycrisp, with skin, raw","60","0","15","0"
"1750339","Apples, red delicious, with skin, raw","62","0","15","0"
"1105430","Apples, red delicious, with skin, raw","62","0","15","0"
"2263892","Applesauce, unsweetened, with added vitamin C","52","0","12","0"
"2346414","Applesauce, unsweetened, with added vitamin C","52","0","12","0"
"2710815","Apricot, with skin, raw","48","0","10","1"
"2710822","Arugula, baby, raw","31","0","5","2"
"2710823","Asparagus, green, raw","28","0","5","1"
"2710824","Avocado, Hass, peeled, raw","223","20","8","2"
"1105073","Bananas, overripe, raw","85","0","20","1"
"1105314","Bananas, ripe and slightly ripe, raw","98","0","23","1"
"2644285","Beans, black, canned, sodium added, drained and rinsed","118","1","20","7"
"2644287","Beans, cannellini, canned, sodium added, drained and rinsed","115","1","19","7"
"2644281","Beans, cannellini, dry","345","2","60","22"
"2644294","Beans, great northern, canned, sodium added, drained and rinsed","117","1","19","7"
"2644289","Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed","127","1","21","8"
"2644290","Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed","127","1","21","7"
"2644286","Beans, navy, canned, sodium added, drained and rinsed","119","1","20","7"
"2644292","Beans, pinto, canned, sodium added, drained and rinsed","117","1","20","7"
"321611","Beans, snap, green, canned, regular pack, drained solids","24","0","4","1"
"2346400","Beans, snap, green, raw","40","0","7","2"
